order_id,item_id,product_id,quantity,list_price,discount,sales,product_name
1,1,20,1,599.99,0.2,599.79,Electra Townie Original 7D EQ - Women's - 2016
1,2,8,2,1799.99,0.07,3599.91,Trek Remedy 29 Carbon Frameset - 2016
1,3,10,2,1549,0.05,3097.95,Surly Straggler - 2016
1,4,16,2,599.99,0.05,1199.93,Electra Townie Original 7D EQ - 2016
1,5,4,1,2899.99,0.2,2899.79,Trek Fuel EX 8 29 - 2016
2,1,20,1,599.99,0.07,599.92,Electra Townie Original 7D EQ - Women's - 2016
2,2,16,2,599.99,0.05,1199.93,Electra Townie Original 7D EQ - 2016
3,1,3,1,999.99,0.05,999.94,Surly Wednesday Frameset - 2016
3,2,20,1,599.99,0.05,599.94,Electra Townie Original 7D EQ - Women's - 2016
4,1,2,2,749.99,0.1,1499.88,Ritchey Timberwolf Frameset - 2016
5,1,10,2,1549,0.05,3097.95,Surly Straggler - 2016
5,2,17,1,429,0.07,428.93,Pure Cycles Vine 8-Speed - 2016
5,3,26,1,599.99,0.07,599.92,Electra Townie Original 7D EQ - 2016
6,1,18,1,449,0.07,448.93,Pure Cycles Western 3-Speed - Women's - 2015/2016
6,2,12,2,549.99,0.05,1099.93,Electra Townie Original 21D - 2016
6,3,20,1,599.99,0.1,599.89,Electra Townie Original 7D EQ - Women's - 2016
6,4,3,2,999.99,0.07,1999.91,Surly Wednesday Frameset - 2016
6,5,9,2,2999.99,0.07,5999.91,Trek Conduit+ - 2016
7,1,15,1,529.99,0.07,529.92,Electra Moto 1 - 2016
7,2,3,1,999.99,0.1,999.89,Surly Wednesday Frameset - 2016
7,3,17,2,429,0.1,857.9,Pure Cycles Vine 8-Speed - 2016
8,1,22,1,269.99,0.05,269.94,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
8,2,20,2,599.99,0.07,1199.91,Electra Townie Original 7D EQ - Women's - 2016
9,1,7,2,3999.99,0.1,7999.88,Trek Slash 8 27.5 - 2016
10,1,14,1,269.99,0.1,269.89,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
11,1,8,1,1799.99,0.05,1799.94,Trek Remedy 29 Carbon Frameset - 2016
11,2,22,2,269.99,0.1,539.88,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
11,3,16,2,599.99,0.2,1199.78,Electra Townie Original 7D EQ - 2016
12,1,4,2,2899.99,0.1,5799.88,Trek Fuel EX 8 29 - 2016
12,2,11,1,1680.99,0.05,1680.94,Surly Straggler 650b - 2016
13,1,13,1,269.99,0.1,269.89,Electra Cruiser 1 (24-Inch) - 2016
13,2,17,2,429,0.05,857.95,Pure Cycles Vine 8-Speed - 2016
13,3,20,2,599.99,0.1,1199.88,Electra Townie Original 7D EQ - Women's - 2016
13,4,16,2,599.99,0.05,1199.93,Electra Townie Original 7D EQ - 2016
14,1,6,1,469.99,0.07,469.92,Surly Ice Cream Truck Frameset - 2016
15,1,12,2,549.99,0.07,1099.91,Electra Townie Original 21D - 2016
15,2,8,1,1799.99,0.07,1799.92,Trek Remedy 29 Carbon Frameset - 2016
15,3,18,2,449,0.05,897.95,Pure Cycles Western 3-Speed - Women's - 2015/2016
15,4,23,2,299.99,0.2,599.78,Electra Girl's Hawaii 1 (20-inch) - 2015/2016
16,1,8,1,1799.99,0.2,1799.79,Trek Remedy 29 Carbon Frameset - 2016
16,2,21,1,269.99,0.05,269.94,Electra Cruiser 1 (24-Inch) - 2016
16,3,13,2,269.99,0.07,539.91,Electra Cruiser 1 (24-Inch) - 2016
16,4,14,1,269.99,0.07,269.92,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
17,1,8,1,1799.99,0.07,1799.92,Trek Remedy 29 Carbon Frameset - 2016
17,2,23,1,299.99,0.1,299.89,Electra Girl's Hawaii 1 (20-inch) - 2015/2016
17,3,5,1,1320.99,0.1,1320.89,Heller Shagamaw Frame - 2016
17,4,20,2,599.99,0.2,1199.78,Electra Townie Original 7D EQ - Women's - 2016
18,1,2,2,749.99,0.2,1499.78,Ritchey Timberwolf Frameset - 2016
18,2,22,1,269.99,0.05,269.94,Electra Girl's Hawaii 1 (16-inch) - 2015/2016
18,3,7,1,3999.99,0.1,3999.89,Trek Slash 8 27.5 - 2016
